PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : Missing
OPERATOR : Unknown
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Thu Apr 29 14:01:40 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:39:53
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values													
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu
Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2
3	0.01502592	0.01591455	0.0017432	-0.00882296	-0.02680231	0.002257	0.03416921	0.03957633	0.13399365	0.28463664	0.41507775	0.42181971	0.70608384
4	0.02449412	0.02205988	0.00606984	-0.00327586	-0.01415665	0.01074077	0.03537126	0.04137729	0.12945074	0.27144657	0.39239387	0.40974155	0.65062865
5	0.04480561	0.03834295	0.02838331	0.02239332	0.02170889	0.0458519	0.05871369	0.07144269	0.1587112	0.30715072	0.43914482	0.45522587	0.64627847
6	0.02414326	0.01446186	0.00646835	0.00367105	0.01148306	0.0310827	0.03284433	0.05067157	0.13483519	0.2922201	0.43235695	0.44831044	0.56744811
7	0.01989131	0.01420941	0.00585912	0.00400011	0.00526904	0.02174397	0.03055605	0.04599673	0.12457731	0.27439426	0.40204796	0.39517652	0.4559583
8	0.02054204	0.01708341	0.00999404	0.00907417	0.01024362	0.025892	0.0370089	0.05361929	0.13399924	0.29173188	0.42545017	0.39634952	0.39174707
9	0.02677131	0.02632318	0.01833012	0.01791836	0.01498903	0.02946459	0.04662087	0.06112498	0.13937457	0.29502793	0.42240725	0.36487545	0.29696569
10	0.04024586	0.03630084	0.03054838	0.0303749	0.03322823	0.04771257	0.05763403	0.07466533	0.14886811	0.29759884	0.42014797	0.33971299	0.22315019
11	0.03928656	0.03477039	0.02845156	0.02810379	0.03197198	0.04715571	0.05712752	0.07504196	0.15335983	0.30724778	0.4389771	0.31727679	0.16134767
12	0.01847862	0.01353711	0.0035517	0.00092928	0.00173023	0.0166021	0.02807931	0.04306946	0.11926015	0.26470938	0.38701527	0.2383151	0.08445187
